file,primary_category,secondary_category
advanced_security_system.py,보안/권한,인증보안
advanced_syntax_fixer.py,기타,기타-미분류
ai_performance_optimizer.py,기타,기타-미분류
ai_performance_tuner.py,기타,기타-미분류
analyze_all_shinsegye_projects.py,기타,기타-미분류
analyze_architecture.py,기타,기타-미분류
animation_studio_demo.py,기타,기타-미분류
animation_studio_theme_song_demo.py,기타,기타-미분류
app_Sorisay.py,기타,기타-미분류
async_performance_system.py,기타,기타-미분류
auto_syntax_validator.py,기타,기타-미분류
autonomous_shopping_demo.py,기타,기타-미분류
backup/personal_ai_tutor_20251019_182012.py,기타,기타-미분류
backup/realtime_game_generator_20251019_182012.py,기타,시뮬레이션
backup/run_all_shinsegye_exit_fix_20251019_174426.py,기타,기타-미분류
backup/security_demo_20251019_070650.py,보안/권한,인증보안
backup/sorisae_core_controller_exit_fix_20251019_174426.py,기타,기타-미분류
backup/sorisae_core_new_features_20251019_182012.py,기타,기타-미분류
biometric_security_system.py,보안/권한,인증보안
check_missing_programs.py,코드/개발,기타-미분류
civil_engineering_bidding_demo.py,기타,기타-미분류
code_quality_improver.py,코드/개발,기타-미분류
code_quality_master.py,코드/개발,기타-미분류
commissioning_test.py,검증/테스트,기타-미분류
completion_checker.py,검증/테스트,기타-미분류
comprehensive_file_analyzer.py,기타,기타-미분류
comprehensive_project_analyzer.py,기타,기타-미분류
config_loader.py,기타,기타-미분류
control_tower_analysis.py,기타,기타-미분류
core/__init__.py,기타,기타-미분류
core/event_bus.py,기타,기타-미분류
core/health_monitor.py,운영관측/헬스,기타-미분류
creative_workflow_engine.py,오케스트레이션/에이전트,기타-미분류
current_police_system_status.py,운영관측/헬스,기타-미분류
cyber_detective_ai.py,기타,기타-미분류
cyber_detective_dashboard.py,대시보드/UI,기타-미분류
cyber_detective_detailed_analysis.py,기타,기타-미분류
cyber_detective_future_tech.py,기타,기타-미분류
cyber_detective_global_network.py,기타,기타-미분류
cyber_detective_global_server_analysis.py,API/서버,기타-미분류
cyber_detective_gps_radius.py,기타,기타-미분류
cyber_detective_methodology.py,기타,기타-미분류
cyber_detective_visual_monitoring.py,운영관측/헬스,기타-미분류
cyber_investigation_report.py,기타,기타-미분류
cyber_realtime_monitor.py,운영관측/헬스,기타-미분류
demo_animation_voice_integration.py,음악/오디오,음성
demo_golden_sorisae.py,기타,기타-미분류
detailed_technical_report.py,기타,기타-미분류
emotion_based_music_generator.py,음악/오디오,기타-미분류
enhanced_voice_exit.py,음악/오디오,음성
ethical_gps_system.py,기타,기타-미분류
ethical_gps_system_simple.py,기타,기타-미분류
example_scripts/example_script1.py,기타,기타-미분류
example_scripts/example_script2.py,기타,기타-미분류
examples_integrated_system.py,기타,기타-미분류
file_reconstructor.py,기타,기타-미분류
