--------- beginning of main
08-16 06:34:47.540 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND2"}'
08-16 06:34:47.542 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:34:47.542 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:34:47.736 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND2"}'
08-16 06:34:47.738 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:34:47.738 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"active_initial_url","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:34:48.061 I/ReactNativeJS(18336): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-16 06:34:48.146 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND2"}'
08-16 06:34:48.147 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","entry_target":null}'
08-16 06:34:48.147 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://invite?code=WLROUND2","scheme":"worldlingo","resolved_path":"invite","reason":"no_app_entry_target"}'
08-16 06:34:53.669 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND2"}'
08-16 06:34:53.670 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:34:53.670 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
08-16 06:34:53.862 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND2"}'
08-16 06:34:53.863 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:34:53.863 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"active_initial_url","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
08-16 06:34:54.186 I/ReactNativeJS(18336): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-16 06:34:54.270 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND2"}'
08-16 06:34:54.272 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_PARSE]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","entry_target":null}'
08-16 06:34:54.272 I/ReactNativeJS(18336): '[DEEP_LINK_TRACE_REJECT]', '{"source":"runtime_url_followup_initial","raw_url":"worldlingo://sales?code=WSROUND2","scheme":"worldlingo","resolved_path":"sales","reason":"no_app_entry_target"}'
