--------- beginning of main
08-17 12:23:52.896 W/ReactNativeJS( 5314): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:23:52.896 W/ReactNativeJS( 5314): 
08-17 12:23:52.896 W/ReactNativeJS( 5314): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:23:54.280 I/ReactNativeJS( 5314): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:23:54.280 I/ReactNativeJS( 5314):   hasPeerConnection: true,
08-17 12:23:54.280 I/ReactNativeJS( 5314):   hasMediaDevices: true }
08-17 12:23:55.051 W/ReactNativeJS( 5314): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:23:55.071 W/ReactNativeJS( 5314): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:23:55.087 W/ReactNativeJS( 5314): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:23:55.100 W/ReactNativeJS( 5314): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:23:55.274 I/ReactNativeJS( 5314): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:24:00.937 I/ReactNativeJS( 5314): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:24:00.934Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:24:01.051 I/ReactNativeJS( 5314): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:24:01.208 I/ReactNativeJS( 5314): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:24:01.451 I/ReactNativeJS( 5314): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:24:01.447Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:24:01.503 I/ReactNativeJS( 5314): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:24:02.419 I/ReactNativeJS( 5314): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:24:22.147 I/ReactNativeJS( 5314): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:24:22.144Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:24:29.604 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:24:29.597Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:24:40.765 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:40.763Z","show_login":true,"focus_field":"EMAIL","email_length":0,"password_length":0,"next_length":1}'
08-17 12:24:41.261 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.259Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":2}'
08-17 12:24:41.265 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.262Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":3}'
08-17 12:24:41.268 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.266Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":4}'
08-17 12:24:41.270 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.269Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":5}'
08-17 12:24:41.273 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.271Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":6}'
08-17 12:24:41.275 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.274Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":7}'
08-17 12:24:41.278 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.276Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":8}'
08-17 12:24:41.280 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.279Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":9}'
08-17 12:24:41.283 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.281Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":10}'
08-17 12:24:41.286 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.284Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":11}'
08-17 12:24:41.730 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.729Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":12}'
08-17 12:24:41.733 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.732Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":13}'
08-17 12:24:41.735 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.734Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":14}'
08-17 12:24:41.738 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.736Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":15}'
08-17 12:24:41.740 I/ReactNativeJS( 5314): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:24:41.739Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":16}'
